cluster,n_customers,share,median_ACTUAL_CLTV,mean_ACTUAL_CLTV,median_CURRENT_YEAR_FAP,mean_CURRENT_YEAR_FAP,median_FUTURE_LIFETIME_VALUE,mean_FUTURE_LIFETIME_VALUE,median_ACTUAL_LIFETIME_DURATION,mean_ACTUAL_LIFETIME_DURATION,median_NUM_CROSS_SOLD_LY,mean_NUM_CROSS_SOLD_LY,median_CLM_OVER_PROFIT_HITCOUNT,mean_CLM_OVER_PROFIT_HITCOUNT,mode_CUSTOMER_SEGMENT,mode_CUSTOMER_PORTFOLIO,mode_ACTIVE_CUSTOMER,mean_CURRENT_GWP,mean_LAST_YEAR_GWP,mean_GEP_FIN_FULL,mean_GEC_FIN_FULL,mean_CLM_INC_FULL,mean_WEIGHTED_PLAN_LOSS_RATIO,mean_ACTUAL_LOSS_RATIO,mean_EXPECTED_LIFETIME_VALUE,mean_TOTAL_SCORE,mean_INSP_FLAG,product_index
39,433,0.002612352263334761,373.2,477.4704618937645,,,,,12.0,11.997459584295612,0.0,0.0,0.0,0.0,E,MID,N,,-63.55681818181818,1499.9473210161661,296.523533487298,94.53714285714285,0.27093366631275895,0.0027256346147165288,477.4704618937645,22.824480369515012,,0.0
64,415,0.0025037556334501754,2289.22,2303.972298850575,,,,,4.0,4.0,0.0,0.0,0.0,0.0,F,MID,N,-5.68e-14,4157.545,4084.841681415929,787.6624778761063,4057.979534883721,0.14200838699212587,0.0037669874301044753,516.6123453608249,18.35421686746988,,0.0
86,413,0.002491689341240777,0.0,0.1952784503631961,,,,,3.0,3.0,0.0,0.0,0.0,0.0,F,MID,N,,0.0,18.41670854271356,2.5208793969849252,341.27058823529416,0.06690506418603576,0.0021175007502462536,0.1952784503631961,18.19370460048426,,0.0
116,411,0.0024796230490313786,133.73,136.68469586374695,,,,,1.0,1.0,0.0,0.0,0.0,0.0,F,MID,N,,1.0090740740740742,372.3697566909975,81.65571776155718,0.0,0.4043652360077539,0.0,136.68469586374695,19.0,,0.0
19,410,0.002473589902926679,1760.02,4416.139414634147,2085.65,2077.2359268292685,0.0,0.0031846243902439023,2.8499999999999996,4.662195121951219,0.0,0.16097560975609757,0.0,0.12682926829268293,F,MID,N,384.50448,2308.9961946902654,10470.551544943823,1566.7891853932585,12113.628255812657,0.43254637560853065,0.16117563005888008,4416.142599258537,21.568292682926828,,0.3368667562139602
79,404,0.002437391026298484,468.77,468.6991089108911,,,,,3.0,3.0,0.0,0.0,0.0,0.0,F,MID,N,,-44.451052631578946,1205.2637623762375,273.0138861386139,284.0273684210526,0.43342964847483156,0.00734643238712467,468.6991089108911,20.0,,0.0
99,399,0.0024072252957749877,82.12,81.62145363408521,,,,,2.0,2.0,0.0,0.0,0.0,0.0,F,MID,N,,1.66675,552.6004761904762,105.97393483709273,55.017500000000126,0.0700704587507083,0.002678033131756418,81.62145363408521,20.0,,0.0
68,398,0.0024011921496702887,5949.51,5928.9597738693465,,,,,3.0,3.0,0.0,0.0,0.0,0.0,F,MID,N,,-115.97560975609755,7970.742562814071,1697.18,584.3883216783216,0.6015507152314395,0.021005726384961083,5928.9597738693465,22.0,,0.0
15,382,0.002304661811995101,3773.205,4755.651282722513,3110.0,3115.965942408377,0.0,0.0,3.0,4.483246073298429,0.0,0.1256544502617801,0.0,0.193717277486911,F,MID,N,346.96246376811604,2909.254457478006,10596.115726495727,1877.2651282051283,9636.294385963725,0.48814984817581236,0.3099529782158863,4755.651282722513,21.75392670157068,,0.26295168024316734
67,378,0.002280529227576304,93.52000000000001,91.4729365079365,,,,,4.0,4.0,0.0,0.0,0.0,0.0,F,MID,N,,457.215,607.1232010582011,120.74034391534393,63.330000000000005,0.07429355127007795,0.0027046363831685913,91.4729365079365,20.0,,0.0
